Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
1900000 	73.345768	0.000000	14.063108	-215.167171	0.000000	0.000000	-1.618474	-6.842917	-53.429110	-10.985272	0.000000	-36.503721	0.000000	0.000000	0.000000	0.000000	-237.137789
1902000 	95.770327	0.000000	28.203421	-216.275285	0.000000	-0.000000	-1.820856	-7.450670	-55.014813	-10.501623	0.000000	-36.375328	0.000000	0.000000	0.000000	0.000000	-203.464828
1904000 	87.638734	0.000000	24.974250	-207.407567	0.000000	0.000000	-1.699940	-6.889574	-54.441385	-6.547205	0.000000	-34.379291	0.000000	0.000000	0.000000	0.000000	-198.751979
1906000 	81.795188	0.000000	27.766838	-215.791735	0.000000	-0.000000	-0.051445	-6.275671	-55.182579	-11.045051	0.000000	-35.256793	0.000000	0.000000	0.000000	0.000000	-214.041248
1908000 	88.318555	0.000000	30.956996	-227.212013	0.000000	0.000000	-0.619660	-7.416736	-55.261372	-14.290057	0.000000	-43.799842	0.000000	0.000000	0.000000	0.000000	-229.324129
1910000 	73.380336	0.000000	22.291216	-219.773170	0.000000	0.000000	-1.000000	-7.062304	-54.871353	-16.323160	0.000000	-42.334948	0.000000	0.000000	0.000000	0.000000	-245.693382
1912000 	78.515564	0.000000	29.721625	-231.520866	0.000000	-0.000000	-0.995603	-7.389533	-56.078770	-8.914236	0.000000	-34.152181	0.000000	0.000000	0.000000	0.000000	-230.813999
1914000 	79.512695	0.000000	20.282737	-235.178176	0.000000	0.000000	-0.999679	-6.851548	-55.223570	-12.116230	0.000000	-51.835936	0.000000	0.000000	0.000000	0.000000	-262.409707
1916000 	79.729474	0.000000	21.841139	-235.715897	0.000000	-0.000000	-0.908921	-6.029542	-55.469899	-10.640916	0.000000	-54.899138	0.000000	0.000000	0.000000	0.000000	-262.093700
1918000 	98.570637	0.000000	19.511558	-233.109115	0.000000	0.000000	-1.102767	-5.791733	-55.276746	-10.859050	0.000000	-49.233492	0.000000	0.000000	0.000000	0.000000	-237.290705
1920000 	62.290029	0.000000	20.968573	-235.604381	0.000000	0.000000	-1.400139	-5.492520	-52.736727	-8.568051	0.000000	-40.407174	0.000000	0.000000	0.000000	0.000000	-260.950390
1922000 	88.736326	0.000000	18.557879	-209.937370	0.000000	-0.000000	-0.680604	-7.404492	-56.158255	-9.199096	0.000000	-41.326712	0.000000	0.000000	0.000000	0.000000	-217.412324
1924000 	84.053483	0.000000	22.391059	-222.769844	0.000000	0.000000	-0.200014	-3.628569	-52.919991	-10.104726	0.000000	-46.801835	0.000000	0.000000	0.000000	0.000000	-229.980437
1926000 	91.479647	0.000000	23.390733	-228.445923	0.000000	0.000000	-0.000000	-1.538127	-53.376492	-4.643243	0.000000	-43.098522	0.000000	0.000000	0.000000	0.000000	-216.231927
1928000 	80.730869	0.000000	22.416878	-221.825174	0.000000	-0.000000	-0.000000	-4.307905	-53.701834	-7.838278	0.000000	-40.204410	0.000000	0.000000	0.000000	0.000000	-224.729853
1930000 	81.644329	0.000000	26.082129	-216.868811	0.000000	0.000000	-0.000005	-4.027279	-54.221266	-1.650635	0.000000	-38.072910	0.000000	0.000000	0.000000	0.000000	-207.114448
1932000 	97.774054	0.000000	28.005369	-209.983928	0.000000	-0.000000	-0.635097	-1.571955	-53.899838	-8.224404	0.000000	-36.172560	0.000000	0.000000	0.000000	0.000000	-184.708359
1934000 	77.685880	0.000000	18.345525	-225.119420	0.000000	0.000000	-1.253981	-3.090500	-54.540615	-11.876635	0.000000	-35.495826	0.000000	0.000000	0.000000	0.000000	-235.345571
1936000 	82.116294	0.000000	25.701179	-220.456502	0.000000	-0.000000	-0.000004	-2.392564	-55.187541	-11.646628	0.000000	-45.358145	0.000000	0.000000	0.000000	0.000000	-227.223910
1938000 	98.123721	0.000000	21.816237	-209.641016	0.000000	-0.000000	-0.500000	-0.466283	-52.701059	-9.503012	0.000000	-41.170470	0.000000	0.000000	0.000000	0.000000	-194.041882
1940000 	79.665551	0.000000	19.715724	-192.637218	0.000000	0.000000	-1.463464	-4.407924	-54.875964	-5.849002	0.000000	-30.801363	0.000000	0.000000	0.000000	0.000000	-190.653659
1942000 	80.484863	0.000000	12.128139	-222.451136	0.000000	-0.000000	-0.763435	-5.217495	-54.960777	-10.295815	0.000000	-37.343087	0.000000	0.000000	0.000000	0.000000	-238.418744
1944000 	74.679938	0.000000	29.164780	-216.573318	0.000000	-0.000000	-1.981101	-5.690091	-53.124284	-10.900944	0.000000	-42.810385	0.000000	0.000000	0.000000	0.000000	-227.235406
1946000 	78.633185	0.000000	28.606266	-215.189914	0.000000	-0.000001	-0.012866	-4.702340	-54.734008	-3.507147	0.000000	-29.084187	0.000000	0.000000	0.000000	0.000000	-199.991011
1948000 	77.228668	0.000000	22.545906	-233.857807	0.000000	-0.000000	-0.000000	-3.661912	-53.708584	-10.541191	0.000000	-42.606346	0.000000	0.000000	0.000000	0.000000	-244.601267
1950000 	75.278787	0.000000	20.215198	-236.026264	0.000000	-0.000000	-0.000407	-3.114654	-54.551383	-14.874923	0.000000	-48.062748	0.000000	0.000000	0.000000	0.000000	-261.136394
1952000 	90.920172	0.000000	23.219265	-236.808110	0.000000	-0.000000	-1.312630	-3.877333	-53.724870	-18.542188	0.000000	-38.542116	0.000000	0.000000	0.000000	0.000000	-238.667809
1954000 	87.596115	0.000000	29.478019	-230.718846	0.000000	0.000000	-0.000000	-4.930481	-54.450945	-14.377422	0.000000	-40.178931	0.000000	0.000000	0.000000	0.000000	-227.582491
1956000 	63.188740	0.000000	25.043184	-224.937089	0.000000	0.000000	-0.000005	-3.825434	-52.985872	-13.653649	0.000000	-39.080271	0.000000	0.000000	0.000000	0.000000	-246.250396
1958000 	88.076581	0.000000	24.733276	-248.679047	0.000000	-0.000000	-1.096669	-7.268590	-54.997099	-20.835760	0.000000	-44.688345	0.000000	0.000000	0.000000	0.000000	-264.755654
1960000 	72.539125	0.000000	28.448567	-238.108981	0.000000	-0.000000	-0.410451	-5.288644	-54.865273	-10.662911	0.000000	-39.818574	0.000000	0.000000	0.000000	0.000000	-248.167142
1962000 	69.986010	0.000000	18.070312	-252.268822	0.000000	-0.000000	-1.279412	-4.625015	-52.580195	-10.388922	0.000000	-50.151543	0.000000	0.000000	0.000000	0.000000	-283.237588
1964000 	96.167910	0.000000	17.779105	-244.927482	0.000000	-0.000000	-0.188408	-6.214371	-54.316538	-16.778414	0.000000	-42.021740	0.000000	0.000000	0.000000	0.000000	-250.499939
1966000 	87.778078	0.000000	20.279042	-224.760646	0.000000	0.000000	-0.000000	-3.385807	-53.408948	-8.574887	0.000000	-45.275101	0.000000	0.000000	0.000000	0.000000	-227.348269
1968000 	92.096232	0.000000	26.878043	-234.637385	0.000000	0.000000	-0.584408	-2.347390	-54.444377	-12.047467	0.000000	-44.648666	0.000000	0.000000	0.000000	0.000000	-229.735418
1970000 	70.309530	0.000000	23.347604	-255.932665	0.000000	0.000000	-0.000000	-2.072550	-53.688847	-13.159271	0.000000	-42.234299	0.000000	0.000000	0.000000	0.000000	-273.430499
1972000 	74.900804	0.000000	22.168923	-248.738312	0.000000	0.000000	-0.000000	-6.667697	-56.046867	-10.338076	0.000000	-50.265863	0.000000	0.000000	0.000000	0.000000	-274.987088
1974000 	77.084403	0.000000	25.058102	-233.660290	0.000000	0.000000	-1.682259	-4.564423	-54.630868	-10.147968	0.000000	-47.233710	0.000000	0.000000	0.000000	0.000000	-249.777013
1976000 	80.678053	0.000000	14.441145	-216.361689	0.000000	0.000000	-0.000016	-5.841856	-53.748366	-11.735730	0.000000	-36.862690	0.000000	0.000000	0.000000	0.000000	-229.431149
1978000 	86.608154	0.000000	23.014751	-219.406735	0.000000	0.000000	-0.000064	-3.363312	-54.015182	-9.889101	0.000000	-30.560917	0.000000	0.000000	0.000000	0.000000	-207.612405
1980000 	108.009225	0.000000	28.815874	-195.141723	0.000000	0.000000	-0.000000	-3.695602	-55.408022	-7.650822	0.000000	-36.119511	0.000000	0.000000	0.000000	0.000000	-161.190581
1982000 	67.442037	0.000000	19.493698	-209.893433	0.000000	-0.000000	-0.148967	-5.502180	-53.790677	-10.146841	0.000000	-41.973419	0.000000	0.000000	0.000000	0.000000	-234.519783
1984000 	66.113162	0.000000	24.706674	-222.224206	0.000000	-0.000000	-0.998000	-5.870730	-53.619777	-13.020553	0.000000	-46.336273	0.000000	0.000000	0.000000	0.000000	-251.249702
